2024-11-24 16:00:13 -- Salesforce/blip-image-captioning-large: CompletionUsage(completion_tokens=269, prompt_tokens=337, total_tokens=606, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2024-12-23 15:03:15 -- nlpconnect/vit-gpt2-image-captioning: CompletionUsage(completion_tokens=317, prompt_tokens=395, total_tokens=712, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2024-12-23 15:50:35 -- nlpconnect/vit-gpt2-image-captioning: CompletionUsage(completion_tokens=243, prompt_tokens=379, total_tokens=622, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2024-12-23 15:53:42 -- nlpconnect/vit-gpt2-image-captioning: CompletionUsage(completion_tokens=241, prompt_tokens=370, total_tokens=611, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2024-12-23 16:32:42 -- vit-gpt2-image-captioning: CompletionUsage(completion_tokens=311, prompt_tokens=527, total_tokens=838, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2024-12-23 16:36:27 -- vit-gpt2-image-captioning: CompletionUsage(completion_tokens=305, prompt_tokens=535, total_tokens=840, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2024-12-23 16:47:05 -- vit-gpt2-image-captioning: CompletionUsage(completion_tokens=317, prompt_tokens=539, total_tokens=856, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2024-12-24 16:42:30 -- vit-gpt2-image-captioning: CompletionUsage(completion_tokens=321, prompt_tokens=533, total_tokens=854, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2024-12-24 16:52:37 -- vit-gpt2-image-captioning: CompletionUsage(completion_tokens=210, prompt_tokens=569, total_tokens=779, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2024-12-25 11:28:41 -- : CompletionUsage(completion_tokens=239, prompt_tokens=659, total_tokens=898, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2024-12-25 11:34:19 -- bert-base-NER: CompletionUsage(completion_tokens=268, prompt_tokens=680, total_tokens=948, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-03 11:26:41 -- nlpconnect/vit-gpt2-image-captioning: CompletionUsage(completion_tokens=616, prompt_tokens=2521, total_tokens=3137, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-03 11:49:47 -- nlpconnect/vit-gpt2-image-captioning: CompletionUsage(completion_tokens=718, prompt_tokens=3329, total_tokens=4047, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-03 14:00:08 -- nlpconnect/vit-gpt2-image-captioning: CompletionUsage(completion_tokens=832, prompt_tokens=3472, total_tokens=4304, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-03 14:19:05 -- nlpconnect/vit-gpt2-image-captioning: CompletionUsage(completion_tokens=663, prompt_tokens=3566, total_tokens=4229, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-06 10:13:55 -- dslim/bert-base-NER: CompletionUsage(completion_tokens=184, prompt_tokens=2259, total_tokens=2443, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-06 10:15:16 -- dslim/bert-base-NER: CompletionUsage(completion_tokens=184, prompt_tokens=2259, total_tokens=2443, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=2176))
2025-03-06 10:23:20 -- dslim/bert-base-NER: CompletionUsage(completion_tokens=184, prompt_tokens=2259, total_tokens=2443, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-06 10:25:17 -- dslim/bert-base-NER: CompletionUsage(completion_tokens=310, prompt_tokens=4151, total_tokens=4461, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
