2025-03-19 11:07:00 -- facebook/detr-resnet-50: CompletionUsage(completion_tokens=780, prompt_tokens=3517, total_tokens=4297, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-19 11:49:48 -- facebook/detr-resnet-50: CompletionUsage(completion_tokens=734, prompt_tokens=3602, total_tokens=4336, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-19 12:04:28 -- facebook/detr-resnet-50: CompletionUsage(completion_tokens=732, prompt_tokens=3608, total_tokens=4340, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-19 14:44:08 -- facebook/detr-resnet-50: CompletionUsage(completion_tokens=151, prompt_tokens=1762, total_tokens=1913, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-19 15:08:56 -- google/pegasus-xsum: CompletionUsage(completion_tokens=392, prompt_tokens=3866, total_tokens=4258, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-03-20 12:41:45 -- google/pegasus-xsum: CompletionUsage(completion_tokens=743, prompt_tokens=2543, total_tokens=3286, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-06-04 12:59:45 -- ustc-community/dfine-xlarge-coco: CompletionUsage(completion_tokens=458, prompt_tokens=3274, total_tokens=3732, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=3200))
2025-06-04 13:09:52 -- ustc-community/dfine-xlarge-coco: CompletionUsage(completion_tokens=139, prompt_tokens=1100, total_tokens=1239, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-06-04 13:21:26 -- ustc-community/dfine-xlarge-coco: CompletionUsage(completion_tokens=139, prompt_tokens=1100, total_tokens=1239, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-06-04 14:16:34 -- ustc-community/dfine-xlarge-coco: CompletionUsage(completion_tokens=139, prompt_tokens=1100, total_tokens=1239, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-06-04 15:33:18 -- ustc-community/dfine-xlarge-coco: CompletionUsage(completion_tokens=234, prompt_tokens=1132, total_tokens=1366, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-06-04 15:54:42 -- ustc-community/dfine-xlarge-coco: CompletionUsage(completion_tokens=234, prompt_tokens=1169, total_tokens=1403, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-06-04 15:59:11 -- ustc-community/dfine-xlarge-coco: CompletionUsage(completion_tokens=340, prompt_tokens=1213, total_tokens=1553, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-06-05 09:24:57 -- ustc-community/dfine-xlarge-coco: CompletionUsage(completion_tokens=276, prompt_tokens=1123, total_tokens=1399, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
2025-06-11 13:03:58 -- ustc-community/dfine-xlarge-obj2coco: CompletionUsage(completion_tokens=534, prompt_tokens=3459, total_tokens=3993, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=0))
